"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
87648,28,17,2,29,2,5,924,32,4,0,50,871264
1687,26,3,1,14,1,3,61,9,2,0,0,18063
89284,10,7,2,25,2,9,73,19,2,0,0,132
1958,1,1,1,2,1,1,11,5,2,0,0,990
2563,1,10,1,72,1,7,546,13,2,0,0,650
5397,1,9,1,22,1,1,877,11,2,0,0,5267
5438,1,18,2,187,4,2,1538,113,8,0,0,1066
6370,1,9,1,36,1,3,917,6,2,0,0,648
6518,1,5,1,162,1,4,536,7,2,0,0,39370
7049,1,4,1,64,2,2,424,22,4,0,0,3651
7149,1,4,1,47,1,2,87,5,2,0,0,50
7457,1,7,1,13,1,2,851,10,2,0,0,3798
8157,1,3,1,5,1,2,53,21,3,0,0,149
8302,1,26,1,125,1,12,4498,89,4,0,0,102896
8380,1,1,1,1,1,2,5,5,2,0,0,55950
8396,1,27,1,142,1,12,4529,89,4,0,0,348
8513,1,6,1,25,1,4,169,8,2,0,0,86238
8614,1,5,1,71,1,2,740,13,2,0,0,176
8622,1,6,1,59,1,2,405,5,2,0,0,2479
8639,1,9,1,108,1,2,1077,52,7,0,0,12971
8662,1,9,1,478,1,2,1863,52,7,0,0,856
8794,1,7,1,68,1,2,625,39,2,0,100,1537
9041,1,33,2,272,4,5,3055,303,12,0,0,106567
9481,1,7,2,77,2,3,181,87,4,0,0,375
9563,1,28,1,50,1,3,33969,39,2,0,0,3673
9949,1,10,1,146,4,2,879,124,9,0,0,780
9989,1,43,2,449,2,3,9263,33,4,0,0,319
10309,1,1,1,5,1,2,10,5,2,0,0,190
10433,1,28,1,329,1,5,2810,6,2,0,0,94
11391,1,3,1,9,1,2,157,15,2,0,0,315
18462,1,7,1,41,1,1,1128,7,2,0,0,37
18548,1,23,1,586,3,4,1189,30,6,0,0,757
20174,1,258,1,386,1,2,42343,7,2,0,0,1803
21673,1,343,2,997,4,30,58247,107,8,0,0,20355
22116,1,2,1,26,4,1,114,20,8,0,25,14
22375,1,39,1,218,1,17,4636,7,2,0,0,31659
23615,1,5,1,49,1,3,87,15,2,0,0,240
23632,1,61,1,423,1,29,9601,5,2,0,0,545
23685,1,52,2,481,6,19,4702,71,12,0,0,1288
23977,1,15,2,128,2,5,623,19,4,0,0,122
24237,1,28,1,127,1,5,2017,435,2,0,0,3244
26188,1,67,1,599,1,33,4538,14,2,0,0,4116
26334,1,69,1,611,1,38,4580,10,2,0,0,416
26473,1,67,1,590,1,30,4482,7,2,0,0,339
26619,1,48,1,421,1,25,1314,131,2,0,0,68
26800,1,21,3,505,9,11,1438,232,18,0,0,1830
39013,1,18,1,140,1,12,2026,7,2,0,0,248136
89763,1,6,1,39,1,1,1121,7,2,0,0,2040
89791,1,21,1,570,3,4,1075,30,6,0,0,757
89928,1,24,1,680,1,12,3055,8,2,0,0,4992
90081,1,11,1,109,1,2,232,7,2,0,0,1803
90515,1,11,1,154,1,16,192,7,2,0,0,33491
91956,1,5,1,49,1,3,87,15,2,0,0,243
92018,1,18,1,285,1,28,4632,5,2,0,0,564
92044,1,18,2,338,6,19,835,71,12,0,0,2946
92291,1,8,2,115,2,4,497,19,4,0,0,122
92379,1,21,1,41,1,4,1392,435,2,0,0,3244
92827,1,25,1,367,1,31,2066,14,2,0,0,6000
92844,1,25,1,376,1,35,2082,10,2,0,0,416
92856,1,25,1,359,1,28,2011,7,2,0,0,339
92883,1,26,1,330,1,24,862,131,2,0,0,68
92936,1,17,3,534,9,17,1538,232,18,0,0,1830
93411,1,8,1,388,1,15,3909,7,2,0,0,2254
97094,1,12,1,134,1,11,1995,7,2,0,0,248136
4070,3,6,1,18,1,4,278,28,2,0,0,22607
5269,3,26,1,80,1,2,234,19,2,0,0,1094
5719,3,32,1,108,2,4,1093,78,4,0,0,49962
2129,12,5,1,7,1,2,100,11,2,0,0,77464
3672,12,6,2,27,2,2,555,450,6,0,0,27971
3732,12,9,1,74,1,2,228,38,3,0,0,753
3960,12,21,1,35,1,3,996,7,30,0,0,70573
7010,12,5,1,31,1,2,67,9,2,0,0,881
7324,12,146,2,424,2,4,8292,27,34,0,0,146
10382,12,3,1,15,1,2,101,7,33,0,0,198
11025,12,184,1,322,1,4,23231,71,5,0,0,167
11179,12,187,2,387,2,3,19142,26,4,0,0,239
11255,12,41,1,113,1,2,1908,11,40,0,0,877
11373,12,50,1,149,1,2,1663,11,40,0,0,54
11474,12,9,1,20,1,2,355,11,40,0,0,2023
11616,12,62,1,221,1,2,2184,11,40,0,0,10969
12734,12,23,1,84,1,1,303,11,43,0,0,227
12797,12,29,1,120,1,1,494,11,43,0,0,18
13174,12,4,1,7,1,2,21,9,46,0,0,130306
13203,12,9,1,14,1,2,276,9,46,0,0,23
13266,12,22,1,135,1,2,554,11,46,0,0,29
13316,12,7,1,15,1,2,36,11,46,0,0,55
13333,12,23,1,142,1,3,561,11,46,0,0,37
13572,12,12,1,20,1,4,58,11,46,0,0,10086
16817,12,12,1,20,1,4,33,11,46,0,0,443190
16820,12,10,1,16,1,2,59,11,46,0,0,2503779
16822,12,4,1,4,1,2,16,11,46,0,0,162
16825,12,6,1,10,1,2,37,11,46,0,0,250
16840,12,16,1,34,1,3,100,11,46,0,0,1276
16846,12,12,1,25,1,4,59,11,46,0,0,131
16850,12,9,1,19,1,2,69,11,46,0,0,3518
16857,12,11,1,22,1,2,199,11,46,0,0,34
16862,12,12,1,56,1,2,218,11,46,0,0,1408
16868,12,13,1,92,1,2,280,11,46,0,0,32
16870,12,14,1,102,1,2,332,11,46,0,0,30
16931,12,8,1,10,1,2,149,11,46,0,0,90
16942,12,11,1,15,1,2,183,11,46,0,0,181
16947,12,14,1,19,1,2,190,11,46,0,0,42
16954,12,15,1,23,1,2,208,11,46,0,0,49
16964,12,19,1,37,1,3,225,11,46,0,0,83
16972,12,22,1,66,1,3,447,11,46,0,0,2051
17047,12,7,1,42,1,1,445,11,46,0,0,197
17126,12,11,3,46,6,2,303,60,56,0,0,3010
17194,12,10,1,16,1,2,112,11,46,0,0,99
17213,12,13,1,28,1,2,149,11,46,0,0,108
17243,12,18,1,43,1,2,211,11,46,0,0,104126
17265,12,24,1,58,1,2,400,11,46,0,0,116
17327,12,64,1,416,1,3,11122,11,46,0,0,113
17401,12,66,1,433,1,3,11310,11,46,0,0,54
17465,12,78,1,448,1,3,11810,11,46,0,0,42
17549,12,79,2,455,3,3,11433,265,54,0,0,39
17586,12,34,4,172,5,1,914,74,62,0,0,901
17613,12,70,1,406,1,3,11650,11,46,0,0,77047
17718,12,14,1,38,1,2,96,11,46,0,0,75
17729,12,17,1,42,1,2,117,11,46,0,0,33
17753,12,16,2,667,2,2,6133,95,55,0,0,109
17819,12,18,3,41,3,2,240,47,50,0,0,201
17866,12,4,1,17,1,2,122,11,46,0,0,579
17897,12,5,2,33,2,2,108,20,48,0,0,18143
17968,12,4,1,10,1,2,106,11,46,0,0,165812
18004,12,5,1,37,1,2,101,11,46,0,0,246
18020,12,3,1,3,1,2,19,11,46,0,0,40
18059,12,32,1,147,1,1,385,11,46,0,0,1059
18121,12,91,1,403,1,3,10219,11,2,0,0,317
1859,4,30,6,174,6,2,396,30,2,0,0,2374
1922,4,24,6,486,6,1,1968,30,2,0,0,4687
2142,4,30,12,1140,12,2,2730,60,2,0,0,303
2430,4,24,12,436,12,1,5383,90,4,0,0,229
2518,4,30,6,1170,6,2,2880,30,2,0,0,689
2641,4,24,6,186,6,2,3210,30,2,0,0,46
2848,4,36,12,1056,30,2,5496,480,10,0,0,131
3339,4,48,6,162,6,2,14520,30,2,0,0,41
3387,4,18,6,114,6,2,270,30,2,0,0,95
3432,4,18,12,156,18,2,420,96,6,0,0,33
3489,4,12,12,132,24,2,438,300,8,0,0,50
3524,4,30,12,162,24,2,1194,288,8,0,0,137
3634,4,30,6,78,6,3,13488,30,2,0,0,61
3685,4,30,6,84,6,3,13722,30,2,0,0,7051
3697,4,12,6,90,6,2,156,30,2,0,0,38
3707,4,12,6,36,6,2,96,30,2,0,0,19
3714,4,12,12,96,18,2,294,204,6,0,0,16
3743,4,96,12,810,36,4,10242,612,12,0,0,21433
3823,4,18,6,72,6,2,126,30,2,0,0,29
3866,4,18,6,210,6,2,450,30,2,0,0,37
3993,4,54,6,318,6,2,1296,30,2,0,0,45
4143,4,120,6,354,6,2,16644,30,2,0,0,68
4175,4,18,6,42,6,2,84,30,2,0,0,250
4210,4,36,6,198,6,2,1278,30,2,0,0,15
4412,4,18,6,42,6,2,84,30,2,0,0,15
8564,4,6,2,22,2,3,62,10,2,0,0,5233
8602,4,20,2,28,2,2,40,10,2,0,0,43
8607,4,4,2,4,2,2,18,10,2,0,0,249
8623,4,8,2,36,2,2,52,10,2,0,0,53
8637,4,8,2,8,2,2,16,10,2,0,0,27
8651,4,34,2,132,2,3,464,10,2,0,0,517
11619,4,32,4,654,10,2,2302,806,10,0,0,176369
12284,4,24,2,198,2,3,1828,60,2,0,0,44
16845,4,94,2,2802,132,4,9139,1960,166,0,22.7272727272727,163
16887,4,6,2,16,2,1,458,10,2,0,0,343703
18032,4,28,2,1152,2,4,10980,34,2,0,0,2065
20067,4,3,1,8,1,1,229,5,2,0,0,343703
20807,4,8,1,102,1,1,1924,35,2,0,0,531
21510,4,2,1,7,1,1,13,7,2,0,0,153
22248,4,45,1,152,1,4,797,6,2,0,0,17001
22276,4,2,1,74,1,1,248,25,2,0,0,4570
22299,4,10,1,147,2,2,590,102,4,0,0,324
23010,4,50,2,328,3,6,1886,76,6,0,0,1278
23454,4,11,1,86,1,1,599,57,2,0,0,49
23649,4,29,1,255,1,9,746,10,2,0,0,116043
23698,4,3,1,97,1,1,4645,15,2,0,0,595
24206,4,8,2,10,2,2,1321,382,4,0,0,410
25143,4,16,1,436,1,6,691,43,2,0,0,103
25364,4,71,1,372,1,17,15282,40,2,0,0,19953
25537,4,145,1,702,1,7,32407,143,2,0,0,136
26872,4,19,1,191,1,9,7659,14,2,0,0,413
26947,4,32,2,242,2,11,8933,40,4,0,0,1584
27876,4,8,1,79,1,5,1441,7,2,0,0,2241
27941,4,39,1,680,1,11,4332,44,2,0,0,376
28756,4,28,1,399,3,25,2678,302,6,0,0,1368
28986,4,25,1,138,1,8,2025,9,2,0,0,222
33576,4,4,1,45,1,2,138,54,2,0,0,58
36591,4,5,1,30,1,4,79,5,2,0,0,472
37260,4,3,1,6,1,1,27,5,2,0,0,5321
43871,4,48,1,426,1,23,665,7,2,0,0,693
44375,4,14,1,40,1,5,242,7,2,0,0,45
44714,4,73,1,773,1,37,2442,7,2,0,0,98
45653,4,87,1,1305,1,39,5523,7,2,0,0,158
46603,4,45,1,68,1,4,77,7,2,0,0,91
46625,4,26,1,34,1,4,69,7,2,0,0,198
46975,4,112,1,2180,1,81,13441,16,2,0,0,97353
47701,4,74,1,507,1,16,3169,7,2,0,0,1303
48979,4,93,2,672,3,10,3644,37,103,0,0,35106
49243,4,10,1,16,1,1,66,5,2,0,0,677
49472,4,11,1,13,1,2,92,5,2,0,0,264
49748,4,10,1,14,1,2,92,5,2,0,0,107
50040,4,5,1,6,1,2,45,7,2,0,0,913
50115,4,12,2,29,2,2,209,10,4,0,0,560
50134,4,5,1,11,1,3,15,5,2,0,0,111
52382,4,54,1,1032,1,9,7380,18,2,0,0,819
53635,4,83,3,1188,13,5,8172,237,26,0,0,1156
54010,4,156,1,1767,8,25,23304,74,16,0,0,840
54511,4,139,1,2164,1,23,23714,33,3,0,0,465
54969,4,16,2,47,2,5,169,12,4,0,0,170
55035,4,11,1,68,1,1,162,7,2,0,0,84
55128,4,7,1,12,1,2,72,5,2,0,0,2603
55204,4,84,2,387,2,9,18085,14,4,0,0,14333
55490,4,110,3,1307,3,15,6666,66,6,0,0,11181
56034,4,84,2,636,2,14,1768,14,4,0,0,106
57304,4,61,1,297,1,9,1146,7,2,0,0,1915
57607,4,3,1,11,1,1,77,8,2,0,0,154
108127,4,3,1,9,1,2,14,5,2,0,0,26
108900,4,211,1,1793,3,37,9537,23,6,0,0,839
110508,4,161,1,1731,1,19,6896,7,2,0,0,102764
93683,27,71,1,725,2,2,17916,60,5,0,0,83887
1593,63,1,1,4,1,2,14,10,2,0,0,272
1839,63,17,2,683,3,9,9559,239,6,0,0,171964
2947,63,11,1,216,1,5,8873,40,2,0,0,27683
4255,63,2,1,13,2,3,68,28,4,0,0,92757
5497,63,16,2,167,2,11,20965,20,4,0,0,987
5607,63,2,1,26,1,4,61,19,2,0,100,52234
5732,63,20,2,606,2,25,22707,38,4,0,0,498
6580,63,6,1,31,1,3,510,5,2,0,0,81747
83305,63,8,1,20,1,3,182,12,4,0,0,43
83315,63,2,1,18,2,2,45,10,4,0,0,84
83332,63,24,1,45,1,10,9670,21,2,0,0,921
83344,63,10,1,35,2,8,533,14,4,0,0,352
83366,63,12,1,113,1,7,1162,14,2,0,0,90265
3494,19,84,1,494,1,1,1478,7,2,0,0,3484
25918,19,52,1,134,1,6,647,22,2,0,0,21064
32355,19,37,1,141,1,2,248,14,2,0,0,139
39023,19,18,1,50,1,3,118,9,2,0,0,726869
40084,19,163,1,494,2,12,4021,39,4,0,50,18889
100865,19,117,1,2005,4,27,5597,54,8,0,0,4671
101119,19,42,1,165,1,13,1598,9,2,0,0,379
102188,19,414,1,1756,1,53,14429,23,2,0,0,338
113080,19,231,1,1033,1,11,4830,6,2,0,0,72
113779,19,37,1,171,1,8,483,10,2,0,0,18612
115639,19,155,1,556,1,9,2155,11,2,0,0,45115
141928,19,130,1,1514,1,11,2479,5,2,0,0,116
18536,5,17,1,49,1,4,227,25,2,0,0,447742
18690,5,26,1,46,1,5,266,7,2,0,0,24698
20471,5,90,1,446,1,21,3697,24,4,0,0,632
37181,5,605,1,2564,1,59,64525,15,2,0,0,937
50962,5,302,1,2597,1,26,14224,12,2,0,0,1352
52289,5,332,1,3145,1,13,47225,5,2,0,0,422
52330,5,62,1,334,1,3,4312,7,2,0,0,626
52336,5,68,2,342,2,8,37437,12,4,0,0,66622
79308,5,435,1,849,1,8,1606,5,2,0,0,991754
94860,5,1,1,1,1,1,5,5,2,0,0,617
2840,21,1,1,13,1,6,22,5,2,0,0,543
3039,21,1,1,32,2,12,60,21,4,0,0,169
5408,21,3,1,202,1,59,714,12,2,0,0,82426
6245,21,2,1,275,1,21,893,42,2,0,0,2666
3091,68,27,1,97,1,3,1539,16,2,0,0,56389
3349,68,75,6,413,9,2,4102,274,21,0,0,64697
3527,68,3,2,26,6,2,164,132,14,0,0,1192928
3724,68,31,1,241,2,2,3835,34,4,0,0,60270
3814,68,2,1,17,2,2,58,34,4,0,0,150097
8617,68,42,1,684,1,5,5486,32,2,0,0,105151
8933,68,51,6,855,8,3,3272,79,16,0,0,12008
10533,68,50,1,432,1,6,8944,12,3,0,0,106
11608,68,129,1,1847,1,15,16979,8,2,0,0,120869
21258,68,48,1,244,1,6,2153,18,2,0,0,265
21366,68,50,1,248,2,5,2185,53,4,0,0,7832
24806,68,158,2,840,2,9,352619,11,4,0,0,413
25258,68,302,2,1529,3,10,9995,33,6,0,0,3982
25339,68,5,1,21,2,3,64,24,4,0,0,510153
25495,68,16,1,47,1,2,165,11,2,0,0,118
26280,68,39,1,66,1,6,399,5,2,0,0,107
28904,68,64,1,281,1,5,2201,32,2,0,0,2125
30275,68,83,3,248,5,12,2453,65,10,0,0,59300
31951,68,21,1,221,1,2,1912,9,2,0,0,128609
34945,68,66,1,457,1,4,10920,20,2,0,0,635
35555,68,5,1,35,1,2,267,8,2,0,0,2508
35558,68,1,1,8,1,2,121,83,4,0,0,2508
36790,68,39,1,180,1,11,1158,5,2,0,0,2086
37801,68,65,1,1333,1,9,9275,10,2,0,0,62
37855,68,6,2,9,2,2,39,19,4,0,0,562
38132,68,7,1,35,1,2,237,93,3,0,0,39275
38213,68,5,1,46,2,3,295,31,8,0,0,55
39083,68,169,1,454,1,12,3271,5,2,0,0,379
39203,68,44,1,288,3,3,5882,104,9,0,0,287
40236,68,11,2,24,2,7,135,81,4,0,0,33876
40241,68,2,2,3,2,2,82,81,4,0,0,33876
40639,68,90,7,335,7,11,2184,98,14,0,0,730
40653,68,7,1,12,1,3,24,5,2,0,0,294
40876,68,25,7,65,7,3,346,98,14,0,0,445
40960,68,8,1,55,1,1,474,10,2,0,0,457
40990,68,6,1,12,1,3,839,7,2,0,0,653365
41190,68,155,1,603,1,3,4713,10,2,0,0,2055
41196,68,2,1,2,1,2,18,10,2,0,0,2055
41350,68,9,3,17,3,4,114,35,6,0,0,364
41472,68,195,1,453,1,4,17270,5,2,0,0,997
41887,68,196,1,338,1,5,13287,5,2,0,0,6317
42066,68,193,2,761,4,14,8516,141,14,0,0,723
42089,68,9,1,99,2,3,558,60,4,0,0,723
42185,68,24,6,206,13,3,1926,315,34,0,0,4844
42299,68,22,1,98,1,3,356,7,2,0,0,106
42319,68,62,2,245,2,10,2461,205,5,0,0,5747
42326,68,11,1,78,1,3,1121,9,2,0,0,5747
42328,68,5,2,23,2,4,1085,205,5,0,0,7697
42332,68,6,1,73,1,3,226,41,2,0,0,775868
42705,68,72,1,287,2,14,2679,56,4,0,0,2257
42709,68,2,1,21,2,3,240,56,4,0,0,154707
42848,68,29,3,99,4,2,1458,127,9,0,0,813
42854,68,2,2,23,3,2,158,121,7,0,0,813
42924,68,28,2,76,2,4,2233,352,10,0,0,8826
42928,68,2,2,28,2,3,394,352,10,0,0,273914
43166,68,13,1,44,1,2,446,12,2,0,0,1705
43264,68,36,1,134,1,8,1035,88,2,0,0,103
43939,68,11,1,42,1,3,181,6,2,0,0,124
44751,68,117,7,542,7,9,3710,46,14,0,0,55230
45217,68,4,1,18,1,2,222,188,5,0,0,8939
45479,68,221,13,1021,14,8,22974,161,28,0,0,5431
45757,68,51,3,70,3,6,258,20,6,0,0,11683
46113,68,14,4,24,4,2,350,26,8,0,0,2460
46159,68,25,2,50,2,5,151,10,4,0,0,18472
46219,68,17,1,84,1,4,663,14,2,0,0,61553
46238,68,55,1,159,2,6,1398,26,4,0,0,819
46367,68,2,1,3,1,3,16,5,2,0,0,11644
46482,68,32,3,505,10,3,1819,87,20,0,0,4057
46522,68,70,1,718,1,10,2780,13,2,0,0,28169
46898,68,137,2,717,2,9,25906,19,6,0,0,300
47035,68,86,1,468,1,7,23973,106,10,0,0,397118
47516,68,58,1,181,1,14,2371,49,2,0,0,217
47873,68,200,3,487,3,17,4379,54,7,0,0,2662
47959,68,190,1,379,2,11,2998,261,5,0,0,307
47970,68,13,2,21,2,4,53,20,4,0,0,178
48304,68,29,1,81,1,6,724,5,2,0,0,125
48612,68,144,1,195,1,6,2876,16,2,0,0,13198
48817,68,26,1,45,1,7,2777,5,2,0,0,24018
49411,68,219,1,588,1,15,10010,15,2,0,0,267
50251,68,1,1,6,2,2,327,280,4,0,0,1204
50252,68,1,1,2,1,3,19,17,2,0,0,24922
51105,68,79,1,402,1,5,2176,9,2,0,0,8719
52460,68,199,2,808,9,9,1846,82,19,0,0,450
52475,68,21,1,34,1,1,266,5,2,0,0,169
54171,68,44,1,219,1,4,1007,11,2,0,0,414
54332,68,65,1,144,1,6,7626,8,2,0,0,201
55887,68,70,3,186,8,8,1270,112,16,0,0,7202
55890,68,5,2,35,6,3,294,83,12,0,0,7769
55959,68,30,1,427,8,9,750,40,16,0,0,64
55990,68,8,1,26,1,3,136,36,2,0,0,119
56092,68,129,2,754,2,20,13757,235,4,0,0,154
56096,68,2,2,6,2,1,241,235,4,0,0,154
56137,68,150,1,834,2,22,14240,64,10,0,0,1068
56145,68,5,1,36,2,3,243,64,10,0,0,1068
56375,68,69,1,481,9,11,2565,130,24,0,11.1111111111111,1753
56952,68,593,4,2709,6,49,60854,38,12,0,0,283
57466,68,37,1,65,2,7,217,10,4,0,0,120
57978,68,1,1,1,1,2,5,5,2,0,0,301265
58457,68,169,4,276,4,7,1741,32,8,0,0,65798
58468,68,3,1,5,1,4,22,5,2,0,0,34371
59136,68,228,1,456,1,6,5988,375,2,0,0,175537
59489,68,588,3,3515,3,46,24481,75,6,0,0,269
79677,68,76,1,139,1,7,595,5,2,0,0,68
79975,68,32,1,43,1,4,150,5,2,0,0,63566
80123,68,51,2,62,2,3,439,10,4,0,0,771
80316,68,71,1,205,1,11,1093,5,2,0,0,12903
106983,68,1,1,9,1,2,30,14,2,0,0,200
115934,68,62,1,143,1,2,354,5,2,0,0,244415
10056,16,39,1,81,5,12,1369,34,10,0,0,141955
11154,16,140,1,646,1,30,10570,36,2,0,0,644
11607,44,10,1,580,1,3,3303,9,2,0,0,1676
11955,44,6,2,30,2,2,118,38,4,0,0,11632
11963,44,7,1,29,1,2,94,15,2,0,0,112
17178,44,12,1,23,1,2,68,5,2,0,0,39522
17762,44,88,1,100,1,8,37361,191,10,0,0,69265
18040,44,1,1,9,1,3,15,6,2,0,0,56349
18131,44,1,1,11,1,2,35,11,2,0,0,78
18151,44,1,1,6,2,3,20,14,4,0,0,1140
18250,44,1,1,7,1,5,11,5,2,0,0,9777
18335,44,2,1,9,1,3,50,18,2,0,0,3963
18343,44,1,1,8,1,3,30,11,2,0,0,44989
18418,44,1,1,6,1,4,11,5,2,0,0,57
18521,44,2,1,15,3,4,87,73,6,0,0,1492
18625,44,2,1,14,3,2,100,59,6,0,0,1196
18634,44,1,1,11,1,2,19,5,2,0,0,2930
18800,44,2,1,24,1,4,38,6,2,0,0,261
